Epoch: 1610, Reward: -19.0, Loss: 0.013322002, Actions: Counter({'[2]': 352, '[5]': 310, '[4]': 286, '[3]': 271, '[0]': 211, '[1]': 180})
Epoch: 1405, Reward: -20.0, Loss: 0.013790713, Actions: Counter({'[2]': 257, '[0]': 246, '[5]': 243, '[1]': 234, '[3]': 228, '[4]': 197})
Epoch: 2351, Reward: -18.0, Loss: 0.0137371635, Actions: Counter({'[4]': 459, '[3]': 432, '[0]': 427, '[2]': 412, '[5]': 350, '[1]': 271})
Epoch: 1444, Reward: -20.0, Loss: 0.013823683, Actions: Counter({'[3]': 315, '[4]': 285, '[0]': 252, '[5]': 223, '[1]': 198, '[2]': 171})
Epoch: 1723, Reward: -17.0, Loss: 0.015122878, Actions: Counter({'[3]': 439, '[4]': 369, '[0]': 326, '[5]': 244, '[2]': 214, '[1]': 131})
Epoch: 1738, Reward: -18.0, Loss: 0.013643655, Actions: Counter({'[2]': 437, '[3]': 378, '[0]': 271, '[1]': 243, '[4]': 211, '[5]': 198})
Epoch: 2065, Reward: -17.0, Loss: 0.012953555, Actions: Counter({'[2]': 450, '[5]': 372, '[3]': 361, '[4]': 327, '[0]': 294, '[1]': 261})
Epoch: 1851, Reward: -19.0, Loss: 0.014746429, Actions: Counter({'[4]': 490, '[3]': 362, '[5]': 342, '[0]': 254, '[1]': 213, '[2]': 190})
Epoch: 1638, Reward: -18.0, Loss: 0.013173802, Actions: Counter({'[0]': 377, '[5]': 331, '[4]': 287, '[3]': 278, '[2]': 212, '[1]': 153})
Epoch: 1642, Reward: -16.0, Loss: 0.013850132, Actions: Counter({'[5]': 382, '[2]': 378, '[3]': 261, '[1]': 233, '[0]': 209, '[4]': 179})
Epoch: 1618, Reward: -20.0, Loss: 0.012380752, Actions: Counter({'[0]': 448, '[5]': 321, '[4]': 228, '[3]': 228, '[1]': 221, '[2]': 172})
Epoch: 1871, Reward: -19.0, Loss: 0.013267623, Actions: Counter({'[0]': 418, '[5]': 410, '[2]': 345, '[3]': 294, '[1]': 208, '[4]': 196})
Epoch: 1230, Reward: -21.0, Loss: 0.013285421, Actions: Counter({'[2]': 281, '[4]': 225, '[1]': 212, '[5]': 188, '[3]': 163, '[0]': 161})
Epoch: 1643, Reward: -20.0, Loss: 0.01359748, Actions: Counter({'[0]': 320, '[4]': 305, '[5]': 298, '[3]': 266, '[1]': 245, '[2]': 209})
Epoch: 1909, Reward: -17.0, Loss: 0.012865692, Actions: Counter({'[1]': 384, '[0]': 334, '[2]': 324, '[5]': 304, '[4]': 299, '[3]': 264})
Epoch: 1756, Reward: -19.0, Loss: 0.011223198, Actions: Counter({'[4]': 370, '[5]': 338, '[3]': 299, '[1]': 278, '[2]': 239, '[0]': 232})
Epoch: 1732, Reward: -20.0, Loss: 0.011974744, Actions: Counter({'[4]': 363, '[2]': 335, '[5]': 290, '[0]': 287, '[3]': 282, '[1]': 175})
Epoch: 1718, Reward: -17.0, Loss: 0.0107619595, Actions: Counter({'[5]': 405, '[0]': 323, '[4]': 306, '[1]': 247, '[2]': 222, '[3]': 215})
Epoch: 2061, Reward: -17.0, Loss: 0.013356368, Actions: Counter({'[5]': 434, '[2]': 426, '[0]': 346, '[1]': 319, '[3]': 269, '[4]': 267})
Epoch: 1306, Reward: -20.0, Loss: 0.013931551, Actions: Counter({'[3]': 244, '[0]': 230, '[4]': 221, '[2]': 220, '[5]': 205, '[1]': 186})
Epoch: 1901, Reward: -18.0, Loss: 0.013234979, Actions: Counter({'[4]': 396, '[5]': 362, '[0]': 318, '[3]': 291, '[2]': 277, '[1]': 257})
Epoch: 1676, Reward: -20.0, Loss: 0.013550749, Actions: Counter({'[2]': 322, '[3]': 299, '[5]': 296, '[4]': 285, '[1]': 258, '[0]': 216})
Epoch: 2583, Reward: -16.0, Loss: 0.014426358, Actions: Counter({'[4]': 539, '[5]': 503, '[0]': 470, '[3]': 364, '[2]': 362, '[1]': 345})
Epoch: 1718, Reward: -19.0, Loss: 0.012266901, Actions: Counter({'[2]': 348, '[5]': 347, '[0]': 340, '[4]': 298, '[3]': 280, '[1]': 105})
Epoch: 1509, Reward: -19.0, Loss: 0.011760765, Actions: Counter({'[5]': 359, '[0]': 297, '[2]': 283, '[1]': 208, '[3]': 202, '[4]': 160})
Epoch: 1651, Reward: -18.0, Loss: 0.010450786, Actions: Counter({'[2]': 364, '[5]': 298, '[1]': 296, '[3]': 261, '[0]': 218, '[4]': 214})
Epoch: 2071, Reward: -19.0, Loss: 0.0110104205, Actions: Counter({'[5]': 432, '[3]': 408, '[1]': 363, '[4]': 327, '[2]': 312, '[0]': 229})
Epoch: 1409, Reward: -19.0, Loss: 0.010606268, Actions: Counter({'[3]': 384, '[1]': 297, '[2]': 209, '[5]': 192, '[0]': 188, '[4]': 139})
Epoch: 1395, Reward: -20.0, Loss: 0.010066357, Actions: Counter({'[5]': 266, '[0]': 260, '[4]': 231, '[3]': 228, '[2]': 220, '[1]': 190})
Epoch: 1332, Reward: -21.0, Loss: 0.01090656, Actions: Counter({'[3]': 307, '[4]': 245, '[5]': 233, '[1]': 232, '[0]': 174, '[2]': 141})
Epoch: 1851, Reward: -18.0, Loss: 0.010143338, Actions: Counter({'[5]': 402, '[3]': 391, '[0]': 325, '[4]': 289, '[2]': 252, '[1]': 192})
Epoch: 1755, Reward: -19.0, Loss: 0.01214954, Actions: Counter({'[3]': 510, '[4]': 365, '[5]': 347, '[2]': 258, '[0]': 171, '[1]': 104})
Epoch: 1828, Reward: -20.0, Loss: 0.012371975, Actions: Counter({'[0]': 363, '[3]': 348, '[2]': 346, '[5]': 274, '[4]': 256, '[1]': 241})
Epoch: 2244, Reward: -19.0, Loss: 0.01063127, Actions: Counter({'[3]': 488, '[2]': 477, '[0]': 411, '[5]': 399, '[4]': 355, '[1]': 114})
