Epoch: 304, Reward: -757, Loss: 64.09391, Actions: Counter({'[0]': 95, '[1]': 64, '[4]': 61, '[2]': 43, '[3]': 41})
Epoch: 511, Reward: -955, Loss: 39.665054, Actions: Counter({'[0]': 137, '[1]': 127, '[2]': 125, '[3]': 121, '[4]': 1})
Epoch: 619, Reward: -1693, Loss: 68.76713, Actions: Counter({'[3]': 153, '[2]': 135, '[1]': 118, '[4]': 110, '[0]': 103})
Epoch: 537, Reward: -1422, Loss: 40.277763, Actions: Counter({'[0]': 131, '[1]': 109, '[2]': 109, '[3]': 101, '[4]': 87})
Epoch: 213, Reward: -540, Loss: 73.27809, Actions: Counter({'[4]': 80, '[1]': 44, '[0]': 43, '[3]': 24, '[2]': 22})
Epoch: 632, Reward: -1454, Loss: 46.13982, Actions: Counter({'[1]': 152, '[2]': 149, '[0]': 139, '[3]': 133, '[4]': 59})
Epoch: 754, Reward: -1765, Loss: 50.260014, Actions: Counter({'[0]': 221, '[1]': 210, '[2]': 165, '[3]': 104, '[4]': 54})
Epoch: 642, Reward: -1545, Loss: 43.725296, Actions: Counter({'[3]': 210, '[2]': 201, '[0]': 124, '[1]': 105, '[4]': 2})
Epoch: 409, Reward: -674, Loss: 42.738846, Actions: Counter({'[2]': 128, '[3]': 92, '[1]': 86, '[0]': 83, '[4]': 20})
Epoch: 748, Reward: -1813, Loss: 63.944813, Actions: Counter({'[0]': 248, '[1]': 238, '[2]': 118, '[3]': 97, '[4]': 47})
Epoch: 170, Reward: -353, Loss: 45.867153, Actions: Counter({'[4]': 59, '[0]': 44, '[1]': 29, '[2]': 26, '[3]': 12})
Epoch: 570, Reward: -1248, Loss: 71.880615, Actions: Counter({'[3]': 165, '[2]': 142, '[0]': 121, '[1]': 119, '[4]': 23})
Epoch: 615, Reward: -1527, Loss: 60.797966, Actions: Counter({'[2]': 166, '[3]': 157, '[0]': 125, '[1]': 114, '[4]': 53})
Epoch: 376, Reward: -676, Loss: 62.161236, Actions: Counter({'[1]': 111, '[0]': 96, '[2]': 78, '[3]': 78, '[4]': 13})
Epoch: 961, Reward: -2359, Loss: 67.735214, Actions: Counter({'[3]': 250, '[2]': 241, '[1]': 203, '[0]': 170, '[4]': 97})
Epoch: 438, Reward: -981, Loss: 54.5643, Actions: Counter({'[0]': 112, '[3]': 110, '[2]': 84, '[1]': 83, '[4]': 49})
Epoch: 167, Reward: -179, Loss: 103.69447, Actions: Counter({'[3]': 39, '[1]': 39, '[2]': 35, '[0]': 28, '[4]': 26})
Epoch: 248, Reward: -440, Loss: 63.580242, Actions: Counter({'[3]': 63, '[2]': 60, '[0]': 49, '[1]': 39, '[4]': 37})
Epoch: 969, Reward: -2520, Loss: 70.060104, Actions: Counter({'[3]': 285, '[2]': 253, '[0]': 170, '[1]': 139, '[4]': 122})
Epoch: 132, Reward: -144, Loss: 88.4215, Actions: Counter({'[1]': 37, '[2]': 36, '[0]': 33, '[3]': 22, '[4]': 4})
Epoch: 653, Reward: -1637, Loss: 59.829826, Actions: Counter({'[2]': 171, '[3]': 166, '[0]': 121, '[1]': 103, '[4]': 92})
Epoch: 429, Reward: -1170, Loss: 72.43921, Actions: Counter({'[1]': 111, '[2]': 109, '[3]': 104, '[0]': 59, '[4]': 46})
Epoch: 483, Reward: -1044, Loss: 69.09015, Actions: Counter({'[1]': 118, '[2]': 110, '[0]': 104, '[3]': 97, '[4]': 54})
Epoch: 806, Reward: -2501, Loss: 58.75304, Actions: Counter({'[4]': 220, '[2]': 211, '[3]': 161, '[0]': 118, '[1]': 96})
Epoch: 39, Reward: 236, Loss: 28.621937, Actions: Counter({'[0]': 13, '[1]': 12, '[2]': 7, '[3]': 7})
Epoch: 666, Reward: -1542, Loss: 86.0345, Actions: Counter({'[0]': 192, '[1]': 183, '[3]': 123, '[2]': 96, '[4]': 72})
Epoch: 448, Reward: -730, Loss: 73.713974, Actions: Counter({'[2]': 145, '[3]': 120, '[0]': 95, '[1]': 77, '[4]': 11})
Epoch: 555, Reward: -2745, Loss: 72.19395, Actions: Counter({'[4]': 304, '[1]': 96, '[0]': 59, '[2]': 49, '[3]': 47})
Epoch: 431, Reward: -1073, Loss: 95.787285, Actions: Counter({'[2]': 137, '[3]': 133, '[1]': 73, '[0]': 46, '[4]': 42})
Epoch: 615, Reward: -1104, Loss: 77.064354, Actions: Counter({'[1]': 162, '[2]': 148, '[3]': 143, '[0]': 128, '[4]': 34})
Epoch: 509, Reward: -1592, Loss: 85.94015, Actions: Counter({'[4]': 144, '[2]': 124, '[3]': 100, '[1]': 75, '[0]': 66})
Epoch: 985, Reward: -2230, Loss: 65.78122, Actions: Counter({'[1]': 248, '[2]': 229, '[0]': 225, '[3]': 207, '[4]': 76})
Epoch: 205, Reward: -496, Loss: 80.83612, Actions: Counter({'[2]': 59, '[4]': 59, '[3]': 36, '[1]': 31, '[0]': 20})
Epoch: 442, Reward: -724, Loss: 77.6154, Actions: Counter({'[2]': 126, '[3]': 126, '[0]': 88, '[1]': 75, '[4]': 27})
Epoch: 362, Reward: -1202, Loss: 88.04294, Actions: Counter({'[4]': 103, '[3]': 66, '[2]': 65, '[1]': 64, '[0]': 64})
Epoch: 800, Reward: -2027, Loss: 84.26776, Actions: Counter({'[3]': 221, '[2]': 200, '[1]': 137, '[0]': 133, '[4]': 109})
Epoch: 620, Reward: -2027, Loss: 100.39113, Actions: Counter({'[4]': 201, '[0]': 142, '[2]': 109, '[1]': 104, '[3]': 64})
Epoch: 522, Reward: -1146, Loss: 69.05091, Actions: Counter({'[0]': 140, '[1]': 131, '[2]': 121, '[3]': 79, '[4]': 51})
Epoch: 1071, Reward: -2163, Loss: 56.249367, Actions: Counter({'[0]': 357, '[1]': 306, '[2]': 211, '[3]': 149, '[4]': 48})
Epoch: 589, Reward: -1159, Loss: 66.560776, Actions: Counter({'[2]': 185, '[0]': 137, '[3]': 134, '[1]': 107, '[4]': 26})
Epoch: 780, Reward: -1845, Loss: 59.543034, Actions: Counter({'[2]': 229, '[0]': 194, '[1]': 174, '[3]': 161, '[4]': 22})
Epoch: 977, Reward: -2555, Loss: 51.900967, Actions: Counter({'[0]': 239, '[1]': 238, '[2]': 217, '[3]': 176, '[4]': 107})
Epoch: 908, Reward: -2684, Loss: 71.40406, Actions: Counter({'[3]': 245, '[2]': 229, '[4]': 167, '[1]': 135, '[0]': 132})
Epoch: 1399, Reward: -3454, Loss: 71.81781, Actions: Counter({'[1]': 353, '[0]': 330, '[3]': 301, '[2]': 295, '[4]': 120})
Epoch: 822, Reward: -1806, Loss: 59.07621, Actions: Counter({'[3]': 259, '[2]': 248, '[1]': 159, '[0]': 149, '[4]': 7})
Epoch: 493, Reward: -1045, Loss: 64.4675, Actions: Counter({'[3]': 144, '[2]': 133, '[0]': 104, '[1]': 96, '[4]': 16})
Epoch: 1784, Reward: -5090, Loss: 53.61505, Actions: Counter({'[2]': 558, '[3]': 461, '[0]': 355, '[1]': 324, '[4]': 86})
Epoch: 830, Reward: -2309, Loss: 70.879135, Actions: Counter({'[1]': 222, '[0]': 210, '[2]': 152, '[4]': 138, '[3]': 108})
Epoch: 1103, Reward: -2366, Loss: 56.528053, Actions: Counter({'[2]': 308, '[3]': 288, '[0]': 222, '[1]': 213, '[4]': 72})
Epoch: 671, Reward: -1430, Loss: 61.67498, Actions: Counter({'[2]': 181, '[3]': 173, '[0]': 148, '[1]': 114, '[4]': 55})
Epoch: 656, Reward: -1631, Loss: 49.994, Actions: Counter({'[3]': 191, '[2]': 161, '[0]': 153, '[1]': 107, '[4]': 44})
Epoch: 1079, Reward: -2999, Loss: 43.581738, Actions: Counter({'[3]': 354, '[2]': 282, '[0]': 193, '[1]': 176, '[4]': 74})
Epoch: 809, Reward: -2045, Loss: 57.001617, Actions: Counter({'[2]': 218, '[3]': 209, '[0]': 176, '[1]': 162, '[4]': 44})
Epoch: 843, Reward: -2043, Loss: 52.645256, Actions: Counter({'[0]': 257, '[1]': 191, '[2]': 141, '[3]': 138, '[4]': 116})
Epoch: 775, Reward: -2146, Loss: 44.46568, Actions: Counter({'[0]': 211, '[1]': 195, '[3]': 153, '[2]': 134, '[4]': 82})
Epoch: 434, Reward: -662, Loss: 51.815403, Actions: Counter({'[1]': 147, '[0]': 132, '[2]': 81, '[3]': 72, '[4]': 2})
Epoch: 770, Reward: -1583, Loss: 49.70979, Actions: Counter({'[0]': 242, '[1]': 203, '[3]': 153, '[2]': 135, '[4]': 37})
Epoch: 409, Reward: -710, Loss: 38.337658, Actions: Counter({'[2]': 111, '[3]': 94, '[1]': 90, '[0]': 90, '[4]': 24})
Epoch: 1365, Reward: -4176, Loss: 52.8963, Actions: Counter({'[2]': 463, '[3]': 422, '[4]': 190, '[0]': 174, '[1]': 116})
Epoch: 362, Reward: -608, Loss: 42.478584, Actions: Counter({'[0]': 114, '[1]': 100, '[2]': 79, '[3]': 38, '[4]': 31})
Epoch: 358, Reward: -640, Loss: 71.167046, Actions: Counter({'[2]': 113, '[3]': 95, '[0]': 54, '[1]': 52, '[4]': 44})
Epoch: 741, Reward: -2112, Loss: 50.665783, Actions: Counter({'[0]': 227, '[1]': 187, '[3]': 155, '[2]': 148, '[4]': 24})
Epoch: 123, Reward: -18, Loss: 36.131626, Actions: Counter({'[2]': 40, '[3]': 32, '[4]': 18, '[1]': 17, '[0]': 16})
Epoch: 697, Reward: -1726, Loss: 40.600845, Actions: Counter({'[2]': 230, '[3]': 211, '[1]': 113, '[0]': 94, '[4]': 49})
Epoch: 858, Reward: -2715, Loss: 50.87146, Actions: Counter({'[4]': 201, '[2]': 170, '[3]': 169, '[0]': 166, '[1]': 152})
Epoch: 225, Reward: -543, Loss: 51.383488, Actions: Counter({'[2]': 63, '[3]': 59, '[0]': 41, '[4]': 32, '[1]': 30})
Epoch: 426, Reward: -951, Loss: 33.868427, Actions: Counter({'[3]': 127, '[2]': 114, '[0]': 86, '[4]': 52, '[1]': 47})
Epoch: 1866, Reward: -4488, Loss: 45.141335, Actions: Counter({'[0]': 556, '[1]': 514, '[2]': 402, '[3]': 377, '[4]': 17})
Epoch: 249, Reward: -712, Loss: 58.55803, Actions: Counter({'[4]': 78, '[3]': 48, '[2]': 45, '[1]': 39, '[0]': 39})
Epoch: 698, Reward: -2213, Loss: 58.812344, Actions: Counter({'[4]': 177, '[2]': 160, '[3]': 153, '[0]': 123, '[1]': 85})
Epoch: 120, Reward: -132, Loss: 73.00132, Actions: Counter({'[4]': 41, '[0]': 29, '[1]': 22, '[3]': 15, '[2]': 13})
Epoch: 54, Reward: 177, Loss: 137.70586, Actions: Counter({'[0]': 30, '[2]': 10, '[1]': 7, '[3]': 4, '[4]': 3})
Epoch: 993, Reward: -2706, Loss: 45.207687, Actions: Counter({'[0]': 352, '[1]': 330, '[2]': 130, '[3]': 98, '[4]': 83})
Epoch: 882, Reward: -2181, Loss: 49.629833, Actions: Counter({'[2]': 230, '[3]': 199, '[0]': 196, '[1]': 168, '[4]': 89})
Epoch: 518, Reward: -1628, Loss: 61.988434, Actions: Counter({'[4]': 143, '[1]': 126, '[0]': 125, '[2]': 74, '[3]': 50})
Epoch: 305, Reward: -587, Loss: 55.57152, Actions: Counter({'[1]': 108, '[2]': 61, '[0]': 53, '[3]': 48, '[4]': 35})
Epoch: 1021, Reward: -3067, Loss: 71.74721, Actions: Counter({'[2]': 267, '[3]': 230, '[4]': 196, '[1]': 179, '[0]': 149})
Epoch: 542, Reward: -1292, Loss: 44.43611, Actions: Counter({'[3]': 186, '[2]': 138, '[0]': 94, '[1]': 89, '[4]': 35})
